Country Name,country_code,Region,Indicator Name,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
Aruba,ABW,Latin America & Caribbean,CO2 emissions (metric tons per capita),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Afghanistan,AFG,South Asia,CO2 emissions (metric tons per capita),0.191745115,0.167681579,0.095957742,0.08472111,0.075545827,0.068467956,0.062588034,0.056826617999999995,0.052690855999999994,0.040156965,0.036573704,0.03378536,0.045573659,0.051518377000000004,0.041655394,0.060418781,0.066583291,0.065312346,0.128416559,0.17186242100000002,0.243614036,0.29650624,0.259295334,0.18562366,0.14623561699999998,0.17289674100000002,0.149789334,0.131694556,0.1632953,0.159824372
Angola,AGO,Sub-Saharan Africa,CO2 emissions (metric tons per capita),0.553661955,0.5445386489999999,0.543557223,0.70898423,0.836804405,0.912141485,1.072168465,1.0866369740000001,1.091825308,1.109859657,0.9880773829999999,0.941828905,0.895577672,0.924869437,0.930262948,0.8135392909999999,0.821840076,0.811753508,0.888658009,0.9394039829999999,0.976184198,0.9855223120000001,0.9506958790000001,1.036293852,1.099779111,1.13504405,1.031811348,0.81330073,0.7776749340000001,0.792137069
Albania,ALB,Europe & Central Asia,CO2 emissions (metric tons per capita),1.8195416340000001,1.24281022,0.6836998259999999,0.638307036,0.645355189,0.6054362529999999,0.6123673589999999,0.466921472,0.572153695,0.955359308,1.026213109,1.055495882,1.232378783,1.3389849809999999,1.404058688,1.3382093990000001,1.3399957390000001,1.39393137,1.384311249,1.4414935619999998,1.5276236630000002,1.66942319,1.50324046,1.5336300390000002,1.668337371,1.60377515,1.557664358,1.7887860740000001,1.7827389480000002,1.69224832
Andorra,AND,Europe & Central Asia,CO2 emissions (metric tons per capita),7.521831657999999,7.23537924,6.9630787,6.724177517999999,6.541578914,6.733479486,6.99159455,7.307441152000001,7.63953851,7.9231916479999995,7.952286282,7.721549062,7.566239884,7.24241557,7.344262326,7.3537800120000005,6.790542772999999,6.53104692,6.4393038570000005,6.156687476,6.157197775,5.850886105,5.944654172999999,5.942800412,5.807127723,6.026181822000001,6.080600282000001,6.104133912000001,6.362975399,6.481217432
United Arab Emirates,ARE,Middle East & North Africa,CO2 emissions (metric tons per capita),30.19518857,31.77849624,29.08092584,29.27567777,30.84933296,31.12501806,30.92802588,30.48633262,29.66358052,28.88710798,27.03515911,29.43026994,28.50146173,27.96926982,27.03893822,25.38238104,22.93510429,21.37028576,22.01146924,19.83234887,19.03976975,18.50945738,19.20780112,20.05564757,20.05169797,21.07764197,21.48066861,20.76902233,18.39067806,19.32956328
Argentina,ARG,Latin America & Caribbean,CO2 emissions (metric tons per capita),3.075541328,3.202031307,3.218973722,3.2457952810000004,3.2529452869999997,3.241341893,3.476953205,3.5369899539999996,3.678793802,3.6885182739999998,3.587392038,3.360371185,3.117424829,3.351723713,3.672973996,3.753639235,3.94249129,4.1026296360000005,4.172388531,3.8675699669999997,4.099689714,4.280989353,4.264223782,4.342115069,4.2090956330000004,4.301913876,4.201845776,4.071308362,3.9757719710000003,3.740650291
Armenia,ARM,Europe & Central Asia,CO2 emissions (metric tons per capita),5.610254358,5.9025763929999995,3.16600926,1.498612445,0.83443373,1.090960291,0.8143391870000001,1.066043297,1.116225447,1.006791798,1.1597613629999999,1.180062452,1.028353516,1.159732241,1.25303469,1.4960107630000001,1.51776299,1.773161431,1.956930356,1.561583601,1.508351244,1.71734338,1.9831920269999999,1.89812717,1.881607737,1.8252922440000001,1.72675284,1.823560155,1.934451579,2.086060678
American Samoa,ASM,East Asia & Pacific,CO2 emissions (metric tons per capita),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Antigua and Barbuda,ATG,Latin America & Caribbean,CO2 emissions (metric tons per capita),3.3582268560000004,3.4720578260000003,4.49898385,3.800720617,3.720182735,3.931733458,3.98996808,4.04423557,4.370450293,4.419208828,4.341705369,4.532974149,4.980969957,5.169522468,4.978406237,5.033021488,5.319470442,5.474300638,5.621003692,16.02434762,5.56628433,6.050420408,7.74276315,5.1360506919999995,5.1857132439999996,5.236665308,5.289885738,5.239717055,5.296940139,5.354476455
Australia,AUS,East Asia & Pacific,CO2 emissions (metric tons per capita),15.44848844,15.31821338,15.34152615,15.45536877,15.69196304,16.05688358,16.42783027,16.62526327,17.562930899999998,17.6323576,17.723072100000003,17.80456395,17.9819247,17.72168373,18.17472687,18.14629201,18.14145349,18.52109701,18.30374802,18.22309955,17.59006927,17.29541584,17.02204223,16.44231571,15.83042152,15.863288,15.91465712,15.81831632,15.49352925,15.23826715
Austria,AUT,Europe & Central Asia,CO2 emissions (metric tons per capita),7.58936421,8.049113778999999,7.3539267939999995,7.311242503,7.343640808,7.697264741000001,8.154273323,8.059697483999999,8.107272237,7.888819322000001,7.929785513,8.444109161,8.583317475,9.168343907999999,9.2756141,9.26611356,8.961569195,8.587801761,8.49967402,7.721143982,8.365014901,8.135474381,7.723614487000001,7.753699576,7.260404228,7.3171588729999995,7.288819983,7.4861615829999995,7.133063919,7.2939842520000004
Azerbaijan,AZE,Europe & Central Asia,CO2 emissions (metric tons per capita),7.453450775,7.1596550820000004,8.616847624,6.411111704,4.412529372,4.225196328,3.502511915,3.379580901,3.3476557560000004,3.272055369,3.440349875,3.2547588519999997,3.2036417630000003,3.469717358,3.4081742569999998,3.5796637110000002,3.5935906760000003,3.219791775,3.474678865,2.8500399510000003,2.6849025930000003,2.9739187639999995,3.2391028680000002,3.285616903,3.38119922,3.292452869,3.3040195569999997,3.2433419989999996,3.2928323539999997,3.542397828
Burundi,BDI,Sub-Saharan Africa,CO2 emissions (metric tons per capita),0.031255981,0.039533341,0.0316591,0.032769615,0.032209046,0.033405467,0.034652836,0.034301787,0.035566684,0.036699403,0.040759564,0.030648776000000003,0.03132403,0.023157659,0.02103289,0.020366995,0.023659773,0.02289428,0.022150837000000003,0.021434541,0.034579717999999995,0.040185722,0.04001734,0.040879208,0.038601012999999997,0.039369947999999995,0.041952699999999996,0.048951647,0.061742872000000004,0.062442671
Belgium,BEL,Europe & Central Asia,CO2 emissions (metric tons per capita),10.96677472,11.39089005,11.18250206,10.91876374,11.35869013,11.30237113,11.76078263,11.45537702,11.70341139,11.29525399,11.43958054,11.50432068,10.72798848,11.13131453,10.94122423,10.55578237,10.30057207,9.843115874,9.984152182999999,9.231701272999999,9.794792242,8.740505152,8.577525877000001,8.655477512000001,8.041711215,8.437851999,8.314931807999999,8.151095678999999,8.196338589,8.095583954
Benin,BEN,Sub-Saharan Africa,CO2 emissions (metric tons per capita),0.066285172,0.052432316,0.052515049,0.052519477,0.049000605999999995,0.05079965400000001,0.159165853,0.197400553,0.187009053,0.20107735399999999,0.20681782199999998,0.245876343,0.298818443,0.324444105,0.34193536399999996,0.36330732600000004,0.422300744,0.473104595,0.46223287,0.494146663,0.525042566,0.491500279,0.45635565200000006,0.467785082,0.50452817,0.520992816,0.619937007,0.614754528,0.646058116,0.618583746
Burkina Faso,BFA,Sub-Saharan Africa,CO2 emissions (metric tons per capita),0.056747035,0.056353056,0.05593135900000001,0.055483015,0.055008952,0.056492247999999995,0.060736157,0.064694261,0.069287926,0.078881856,0.08097897700000001,0.08120832,0.078092606,0.082183395,0.081347129,0.078975196,0.089665522,0.098933279,0.11572715300000001,0.11425855800000001,0.14674585099999998,0.15296686,0.177415687,0.183332656,0.180825362,0.204300066,0.198430258,0.222474208,0.23643815,0.24604624600000002
Bangladesh,BGD,South Asia,CO2 emissions (metric tons per capita),0.111658248,0.102557668,0.109460957,0.113909624,0.120101811,0.14370070000000001,0.143051512,0.157872086,0.15690868800000002,0.160636276,0.169593942,0.198172464,0.20705312899999997,0.212401957,0.22286879699999998,0.23526364100000002,0.254752395,0.26629679100000003,0.288141386,0.306664813,0.342739986,0.364566595,0.38402516600000003,0.39669702799999995,0.413092687,0.461997426,0.470827565,0.496851847,0.517113005,0.556529455
Bulgaria,BGR,Europe & Central Asia,CO2 emissions (metric tons per capita),8.443170443,6.815048526,6.482311113,6.6015030370000005,6.36222195,6.528617961,6.612597225,6.375068154,6.113759034,5.397884497000001,5.314453599999999,5.767159577999999,5.56323884,6.1643710039999995,6.125548534,6.265854173999999,6.439923574,6.971191811000001,6.678624427000001,5.7640309489999995,6.0495440160000005,6.755278124,6.16215311,5.458963807999999,5.820924713999999,6.207865317,5.8348819810000006,6.20129024,5.82203361,5.61085728
Bahrain,BHR,Middle East & North Africa,CO2 emissions (metric tons per capita),21.65641314,20.30359266,23.45712527,24.37468762,24.32722575,24.01995395,24.45300444,24.23826789,25.24046883,24.27184466,23.893712100000002,23.49652355,23.42410876,23.03816133,21.60641891,23.26923202,23.46563028,22.20240095,22.21335064,20.8594387,20.92896507,20.35750059,20.90093256,21.93867997,22.66343283,22.29101801,21.25133118,20.42732768,19.63120569,20.26610279
"Bahamas, The",BHS,Latin America & Caribbean,CO2 emissions (metric tons per capita),7.6494670739999995,7.815882332999999,9.660637226,7.710327781,7.504105507,7.852123107000001,7.289245722,6.5074487670000005,8.121128699,7.889465863,7.48209163,7.335981336000001,7.800895463,7.600847317,7.055658167000001,6.4953451929999995,6.34379729,6.28358498,6.4013036770000005,17.64874164,5.8602112029999995,7.147167506000001,9.763986436,7.653297299,6.799325412000001,5.905932758,5.397924872999999,5.6843634860000005,7.260751622999999,7.291661097
Bosnia and Herzegovina,BIH,Europe & Central Asia,CO2 emissions (metric tons per capita),5.370319006,4.906942041000001,3.7721382830000003,3.285167225,0.8027380479999999,0.8801140959999999,1.113053568,2.272441362,2.8813674610000004,2.81031471,3.721499604,3.663945867,3.872969895,3.9524966480000003,4.136343582,4.3103767589999995,4.756438946,5.02020957,5.529716828,5.511323147000001,5.624105757000001,6.484260582999999,6.091586587999999,6.167789961,5.597187383,5.721181036,6.5972430829999995,6.767050642,6.7991826479999995,6.382918042999999
Belarus,BLR,Europe & Central Asia,CO2 emissions (metric tons per capita),9.797486552,9.438839323,8.612563831000001,7.463583047,6.337174653,5.654400196,5.772882687999999,5.848321407,5.6850883979999995,5.4803466489999995,5.304816521,5.225335545,5.254649833,5.379335611,5.7594203539999995,5.875465459,6.15517613,6.029733806,6.352864617000001,6.03919199,6.50264283,6.18814293,6.344981391,6.352712195,6.29728587,5.79426692,5.822979457000001,5.92135146,6.245507315,6.122237765
Belize,BLZ,Latin America & Caribbean,CO2 emissions (metric tons per capita),1.759493266,2.249707015,2.573022375,2.378241619,2.2312685009999997,2.222630241,1.684919966,2.076046485,1.954414371,1.7156319169999998,1.819578666,2.077877272,1.9818054280000001,1.892898995,1.591227985,1.6561075090000001,1.750544009,1.772391396,1.62960935,4.640002664,1.7366225869999998,2.028852144,1.982242705,1.330606578,1.358364951,1.884042732,1.7643912609999999,1.7031467919999999,1.644603729,1.6395500090000001
Bermuda,BMU,North America,CO2 emissions (metric tons per capita),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
